id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
967184683178930000,2018-02-23 23:49:32,36,1AvgGirl,45,"California, USA",[],"RT @netflix: When Letitia Wright gets behind the wheel, you know something badass is about to happen."
967184696890352000,2018-02-23 23:49:35,1,sadiepeaches,5225,cabin 4 ? i was here too. VM,[],RT @its_willyu: STOP. WRITING. AROUND. US. @netflix
967184759792263000,2018-02-23 23:49:50,0,csgoKW,76,"Cape Town, South Africa",[],@lostinspacetv @netflix Looks Amazing! Can?t wait!
967184785310409000,2018-02-23 23:49:56,0,MaxContrerasR,177,Room #427,[],@joelmchale @netflix @NetflixLAT Siempre queremos m s!
967184841467974000,2018-02-23 23:50:10,0,WAVEDUPZO,5195,WESTCOAST ?? HOUSTON,"[ ""Duh""]",I think @netflix should buy the rights to ?Pop Up Video? and make the pop-ups an option you can turn on and off on?
967184962846888000,2018-02-23 23:50:39,54,WaraxMvg,501,France,[],Wow. Bump the studios. @Netflix is setting the race now. Y'all keep tripping and snubbing they gonna force their wa?
967184997680529000,2018-02-23 23:50:47,10,scarredscarletw,407,cabin 13 ?icon:claryfairchield,[],"RT @WestNewYorker: Enjoy our look around Boulder City, #Nevada at Antique shops. In today's post, I suggest some great @netflix shows that?"
967185064185553000,2018-02-23 23:51:03,0,Bees_elbows,205,"North Huntingdon, PA",[],"RT @lostinspacetv: Danger, Will Robinson! #LostInSpace arrives April 13 on @Netflix."
967185068010738000,2018-02-23 23:51:04,0,RussPalmer,4549,New York,[],"Why does @netflix never put out the sequels of movies????? I've already watched the first one, let me watch them all!"
967185080555721000,2018-02-23 23:51:07,58,NormalPothead,30,My Crib,"[""LostInSpace""]",Why don?t you make it easy on me and be merciful on my heart and just be free .. please? @Netflix
967185114001162000,2018-02-23 23:51:15,0,lostinspacetv,811,,[],@rachlanger @ytv @netflix @reboottgc No.
967185230955188000,2018-02-23 23:51:43,0,iTrevorD,76,"Ontario, Canada",[],"RT @netflix: All trust issues with people named ""Sarah"" can be traced back to this moment in ""The Land Before Time"""
967185249523319000,2018-02-23 23:51:47,0,SponchMan,32,,[],RT @RobbieAmell: I will be on season 2 of A series of Unfortunate Events! Streaming soon on @netflix Unfortunately the mustache isn?t real?
967185287779627000,2018-02-23 23:51:56,0,RansomStoddard1,15,,[],"RT @Kai56405432: #ReneeOConnor #XenaRevival and Original Cast @NetflixLifee @netflix @robtapert @NBCUniversal please, please, please!!! @SY?"
967185317953397000,2018-02-23 23:52:03,0,escobarachel,69,cling to what is good,[],RT @DavidKHarbour: quit flirting with me @netflix . ??
967185410182058000,2018-02-23 23:52:25,1,TheChanceMorgan,378,Netflix,[],@Mardigroan @netflix Come on I wasted $2.50 !
967185444717941000,2018-02-23 23:52:34,0,Jukeha93,273,"Fort Collins, CO",[],"@NetflixFR hello @netflix, depuis la derniŠre mise … jour de l'apps sur @PlayStation #ps4 (le 17/2). Voici le messa?"
967185485226480000,2018-02-23 23:52:43,89,menmademusic,344,UK,"[""Mute""]",Thoughts on the new @netflix original film @mute the latest from @ManMadeMoon - come for the awesome Rudd performan?
967185510128026000,2018-02-23 23:52:49,2,Camelo2017,21,"Puerto Tejada, Colombia","[""Frutillita"",  ""doblaje""]",@JohnBechard @netflix Documentary?
967185510824399000,2018-02-23 23:52:49,8,VibeMagazine,881387,"New York, NY","[ ""SevenSeconds""]","RT @Nastentsija: I want Friday with the Season 3 #DirkGently @Netflix, please, #SaveDirkGently We love this wonderful show!????"
967185560065511000,2018-02-23 23:53:01,0,GleekChef,241,"San Francisco, CA",[],the cluster appearing behind wolfgang and kala with her 'bring it bitch' will always be so epic?
967185583893180000,2018-02-23 23:53:07,79,PM_Fowler,16,"Los Angeles, CA",[],circles of hell: 1. limbo 2. lust 3. gluttony 4. greed 5. anger 6. heresy 7. violence 8. fraud 9. treachery 10. the?
967185599001084000,2018-02-23 23:53:10,0,simcomplete,1150,International,[],"@Stitchpunk83 @netflix I may, too. So many other things to watch, though. You should see my Tivos ??"
967185609948189000,2018-02-23 23:53:13,0,chach369,291,,[],@netflix Yasss #Shuri #WakandaForever Love to you @letitiawright ??????
967185650188542000,2018-02-23 23:53:23,0,mcrmik,62,,[],RT @Danadavidss: @NetflixUK @netflix
967185657625043000,2018-02-23 23:53:24,0,_CamyR,66,Argentina,[],@JohnBechard @netflix I recommend you don't feel guilty about that.
967185696669618000,2018-02-23 23:53:34,5,L0B033,319,Potidaea,"[""XenaRevival""]","Dear @davidchang, you?re awesome and @uglydelicious @netflix is awesome. #UglyDelicious"
967185706505314000,2018-02-23 23:53:36,195,sludgewave34,16,"Red Beach, Auckland",[],@netflix i miss doctor who fuck u guys
967185722837905000,2018-02-23 23:53:40,2,L0B033,319,Potidaea,"[""XenaRevival"" , ""LucyLawless""]",RT @Kira38931594: Xena deserve Revival or Movie @robtapert @SYFY @NBCUniversal @netflix @HBO @nbc and we no need reboot! #XenaRevival https?
967185751858278000,2018-02-23 23:53:47,4,L0B033,319,Potidaea,"[""XXisforXENA"", ""XenaRevival"" , ""XenitesUnitebrng""]",@keriqbaum @netflix @MINDHUNTER_ I will check it out!
967185773354209000,2018-02-23 23:53:52,645,t0mm00,208,Kilkenny,[],RT @netflix: Everything In My Life Changed When @The_OA Cast Me As A Transgender Teen
967185775799529000,2018-02-23 23:53:53,0,caseykeating,170,"Philadelphia, PA.",[],@shudder &gt;&gt;&gt; @netflix
967185786113266000,2018-02-23 23:53:55,0,theGreendalefan,50,"Colorado, USA",[],RT @AnaMSL4ever: #XenaRevival #XenaMovie #XXisforXENA Original Cast @NetflixLifee @netflix @NBCUniversal @robtapert @nbc @RealLucyLawless @?
967185791494521000,2018-02-23 23:53:56,0,AngelFaceDGAF,936,Xbox,[],RT @MalalaFund: SAVE THE DATE: @Malala appears on @Netflix with legendary talk show host David @Letterman on March 9! ????
967185820263375000,2018-02-23 23:54:03,0,verter88,3863,Italy,[],RT @JohnBechard: I haven?t watched @Netflix for a week or so and now I?m feeling guilty. Recommendations?
967185874818687000,2018-02-23 23:54:16,0,s0Cal09,769,"San Antonio, TX","[""OneDayAtATime""]",@pieeatingchamp @netflix I know what I'm watching tonight!
967185886931808000,2018-02-23 23:54:19,1,JohnBechard,17721,"Portland, Maine",[],RT @AnaMSL4ever: #XenaRevival #XenaMovie #XXisforXENA Original Cast #ReneeOConnor @NetflixLifee @netflix @NBCUniversal @robtapert @nbc @Rea?
967185898545779000,2018-02-23 23:54:22,151,ShannonGoodpres,351,United States,"[""TheOutsider""]",RT @VibeMagazine: Review: @Netflix's #SevenSeconds and the worth of black bodies in America
967185902815494000,2018-02-23 23:54:23,4,L0B033,319,Potidaea,"[""XenaRevival"" ]",@JohnBechard @netflix Just started watching Frankenstein Chronicles this week. Dark but good!
967185911401230000,2018-02-23 23:54:25,0,TonyCortezofLA,117,"Los Angeles, CA",[],@netflix OMFG I KNEW I KNEW HER
967185926299451000,2018-02-23 23:54:28,0,kathyfreedom1,62,"New York, NY, USA","[""SaveTheLastTycoon"" ]",RT @Elena11575: #XenaRevival with #OriginalCast LucyLawless ReneeOConnor @NBCUniversal @nbc @netflix @RealLucyLawless @robtapert @SYFY???????
967185929189278000,2018-02-23 23:54:29,4,L0B033,319,Potidaea,"[""XenaRevival"", ""XenaMovie""]",RT @IAmWeCampaign: No no @Netflix must release a trailer or at least a special premier date. We've not settled for less before and we shall?
967185936391004000,2018-02-23 23:54:31,1,ShannonGoodpres,351,United States,[],@JohnBechard @netflix Have you seen @MINDHUNTER_ ??
967185938806989000,2018-02-23 23:54:31,0,dspetro,2898,Michigan,[],@MarvelIronFist @netflix #IronFist #Marvel @Marvel
967185946033644000,2018-02-23 23:54:33,2,NinaMoo07,194,"Brisbane, Australia","[""RenewTravelers""]",RT @LenaDalli: @AnaMSL4ever @NetflixLifee @netflix @NBCUniversal @robtapert @nbc @RealLucyLawless @Zenja20 @thebigloc @Dianafowles @Silvera?
967185954694881000,2018-02-23 23:54:35,5,L0B033,319,Potidaea,"[""XenaRevival"", ""OriginalCast"", ""NoReboot""]",@netflix put pitch perfect 3 on netflix as soon as you can
967185961753903000,2018-02-23 23:54:37,1,ShannonGoodpres,351,United States,[],@LLindsey3rd @purpose1958 @Hollaworldwide @funder @netflix Hope you enjoy it!
967185982561776000,2018-02-23 23:54:42,8,L0B033,319,Potidaea,"[""XenaRevival"" , ""Xena""]","RT @joelmchale: ­llame a su congresista, sacerdote, entrenador, paseador de perros y @netflix @netflixLAT (por supuesto) y d‚jelos saber qu?"
967186035309294000,2018-02-23 23:54:54,0,TBaggins85,273,Ya Mudda,[],"RT @Alex79692759: We need #XenaRevival with original cast, No reboot! @robtapert @UniversalTV @nbc @NBCUniversal @netflix"
967186057988116000,2018-02-23 23:55:00,31,amateurfilmnerd,109,,"[""Mute"", ""Moon"", ""StarWars""]",RT @RachLWhitehurst: the best birthday present i could receive is @netflix adding all the mary-kate and ashley movies
967186078368174000,2018-02-23 23:55:05,0,raneenbukhari,6368,,[],"RT @raygord48449699: #XenaRevival #Xena org cast, please, do #XenaRevival #XenaMovie @netflix @SYFY @nbc @NBCUniversal @NetflixLifee"
967186102405779000,2018-02-23 23:55:10,0,anne_cassity,76,"Louisiana, USA",[],"RT @adamhattan: Dear @QueerEye aka @netflix, I need 9 more seasons greenlit. Each season needs a MINIMUM of 24 episodes. I want Antoni ki?"
967186146622132000,2018-02-23 23:55:21,0,Khthomas32,3,,[],@NageenH @MeganPTweets @CherFeldman @MarkTossell @miller_becka @justicesikakane @danieljpeter @ZacOtero?
967186146672480000,2018-02-23 23:55:21,2,leslie_garcia4,508,"Puerto Rico & San Antonio, Tx",[],"WineShop Fan Friday ~ What pairs with a Friday night in, @netflix &amp; a yummy cheese board? The Fleur Bleu 2016 Seven?"
967186148987736000,2018-02-23 23:55:22,0,MapiPina,189,"Tallahassee,FL","[""TheLittlePrince""]",RT @sydney_sweeney: Remember when untagging was violent? @EverythingSuxTV coming to @netflix February 16th!!
967186190582538000,2018-02-23 23:55:31,1,Flirt4FreeGirls,9695,"Los Angeles, California","[""TheRitual"", ""FilmClub"", ""MovieClub""]",RT @NobrowPress: Guess who's coming to @netflix? @thatlukeperson's HILDA! Thanks to @PublishersWkly for announcing the world premiere at @N?
967186194109948000,2018-02-23 23:55:32,0,jenlawrenceke,49,,[],Dragon ball super para @netflix por favor!
967186206948839000,2018-02-23 23:55:35,0,verter88,3863,Italy,"[""Marvel"", ""Netflix"", ""FridayFeeling""]",Fuck you @netflix for #IrreplaceableYou I feel personally attacked from the final half of the movie. It is beautifu?
967186244848546000,2018-02-23 23:55:44,0,emmanuelmedina,310,,"[""TheCloverfieldParadox""]","- ¨Y qu‚ te pareci¢ la tan promocionada pelicula de @netflix, #TheCloverfieldParadox? Yo:"
967186273885704000,2018-02-23 23:55:51,1,PaigexxThomas,193,,"[""IrreplaceableYou"" ]",@TheDefenders @netflix #Marvel #Netflix #FridayFeeling
967186275865416000,2018-02-23 23:55:52,0,LCustodio_,295,,[],@GraceRandolph @netflix The theatrical one suits the theatres perfectly and the Netflix one suits the Netflix site. They?re both stunning.
